,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
Subject12_1.edf,1.532525215,1.373074627,1.430424611,1.717192078,1.50910693,1.813856172,1.432152347,0.996334026,1.42152359,1.477721599,1.382559403,1.34833948,1.190735631,1.443542548,1.413575756,1.180937103,1.545699217,1.449313405,1.335688884,1.863188727,0.515422636
Subject11_1.edf,1.021672179,1.500615031,1.363241001,1.257371611,1.246186888,0.975830312,0.773097581,0.791029878,0.637280974,0.958764132,0.979475516,1.073401486,1.215282573,1.059728644,1.273198486,1.175622205,1.304415365,1.27867497,1.230240807,0.331934376,0.151323772
Subject01_1.edf,1.442765409,1.372655327,1.401778063,1.544911591,1.364460328,0.633465523,0.921211183,1.326660942,1.377983831,1.575155013,1.12296229,1.049435049,1.232008423,1.493877807,0.672930717,1.268954375,1.627474794,1.601979201,0.819752366,0.730722903,1.013965757
Subject13_1.edf,1.713629825,1.599577278,1.712921804,1.394287149,1.327066127,1.662606749,1.00747984,1.710097802,1.735511378,1.682778926,1.382753409,1.834758314,1.518203914,1.368126801,1.21930633,1.19308369,1.695193874,1.794997504,1.27082114,1.377911977,1.657223084
Subject10_1.edf,1.245239376,1.399354006,0.931086416,0.978987871,1.294211131,1.338691552,1.28941847,1.514940079,0.910873382,0.847461705,1.476636534,1.265565429,1.185245185,1.27624299,0.826187588,0.966225676,0.868892335,0.639840056,1.100966603,1.352488281,1.297658167
Subject14_1.edf,1.467684844,1.233519017,1.485025355,1.483510022,1.01381282,1.071011043,0.349708897,1.396183273,1.530349351,1.543427402,0.089449008,1.265951583,1.246585844,1.654588456,1.574530524,1.614970346,1.534791345,1.597143733,1.378318056,0.739776435,1.763790174
Subject18_1.edf,1.443479246,1.623226279,1.618389352,1.594202972,1.182910742,1.25549578,0.962086304,1.517678117,1.470066499,1.515462216,0.988842471,1.600412748,1.604206339,1.490847421,1.346088036,1.520465324,1.763974892,1.530878211,1.539942305,1.312865422,1.479189506
Subject02_1.edf,1.515715048,0.797061705,1.225108893,1.254007497,1.269293145,1.277618878,0.282912711,1.082703219,1.01009269,1.025769941,1.187268572,1.031571844,1.079255197,0.90489831,1.284625048,1.065778779,1.154797677,0.983490696,1.060327575,1.523098977,1.40474352
Subject15_1.edf,1.248883679,1.451576351,1.241318264,1.38803574,1.39102919,1.409981982,1.204237285,1.331176525,1.494117884,1.56834798,1.338997681,1.674381437,1.66761563,1.713134172,1.801455189,1.765514549,1.445098893,1.305073155,1.57500155,1.233261095,1.335216521
Subject16_1.edf,1.44909785,1.333196413,1.627071126,1.550071606,1.118510502,1.422693965,1.651777153,1.80407529,1.733795663,1.710121085,1.739860359,1.853206416,1.757234979,1.723631213,1.558518479,1.640602629,1.549820578,1.726909816,1.683868255,1.670060449,1.338937188
