,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
Subject12_1.edf,4.2535438,4.265836809,4.262697402,4.273841906,4.268475342,4.272255069,4.256431718,4.514336921,4.285134972,4.273998674,4.261840596,4.311788371,4.297888368,4.291707565,4.391320887,4.347343126,4.265951528,4.274954215,4.324562096,4.24409506,4.750795806
Subject11_1.edf,4.259559915,4.239176518,4.259556168,4.269071203,4.279280038,4.28028941,4.326475042,4.31705641,4.275288473,4.308947739,4.291349888,4.336177519,4.278546271,4.282227252,4.302688663,4.310219301,4.259181114,4.275394671,4.289542429,4.334756798,4.792358464
Subject01_1.edf,4.286683837,4.278360344,4.307867389,4.274428286,4.296767709,4.278309427,4.379413414,4.271563812,4.327790251,4.278789734,4.340665381,4.280420802,4.307061985,4.271328067,4.282698526,4.259660062,4.276108871,4.282280469,4.283320152,4.34897568,4.664190629
Subject13_1.edf,4.255533558,4.279467801,4.248231932,4.252705141,4.249595459,4.254238381,4.25066382,4.251582832,4.254781377,4.255904871,4.241895278,4.24892416,4.269161396,4.259532046,4.276017844,4.335799361,4.249082161,4.254958838,4.259080343,4.270481735,4.338618125
Subject10_1.edf,4.2935476,4.272609648,4.319650382,4.302325025,4.274910911,4.289607991,4.317762744,4.295071613,4.32206692,4.321351361,4.291546321,4.32179388,4.33547573,4.33887354,4.320611201,4.329562588,4.317724613,4.317070102,4.331839588,4.262725811,5.084029585
Subject14_1.edf,4.244271091,4.255679642,4.267521718,4.26614546,4.267523912,4.251160691,4.261914126,4.252746799,4.271174562,4.263233339,4.268746763,4.263586986,4.275194341,4.254374441,4.277065811,4.262900607,4.25324348,4.257560748,4.274386933,4.257884316,4.50426462
Subject18_1.edf,4.270064391,4.273049438,4.257129297,4.260455653,4.264792993,4.272577832,4.27901041,4.267916456,4.269167714,4.273436126,4.278480218,4.288798497,4.270804641,4.298566448,4.289368603,4.295245575,4.261454757,4.264934509,4.280358442,4.268818408,4.627911406
Subject02_1.edf,4.271062746,4.300890188,4.298491978,4.264554942,4.262567968,4.280582361,4.302391169,4.324706829,4.301031748,4.297463005,4.291583834,4.308314051,4.294286586,4.302504953,4.303037772,4.307709955,4.307986417,4.292961475,4.305284832,4.267797558,4.262846742
Subject15_1.edf,4.276091331,4.259747789,4.277040234,4.27278618,4.253192899,4.268564891,4.290000492,4.2812992,4.278650596,4.280195755,4.294134552,4.281227246,4.301745798,4.314928852,4.335893846,4.321118287,4.267782647,4.290435445,4.334619687,4.25961006,4.885567989
Subject16_1.edf,4.249450185,4.260752736,4.253477218,4.258264586,4.254229636,4.255239304,4.276984368,4.29203946,4.260156464,4.26304175,4.274475958,4.325025257,4.259739248,4.266580362,4.278338153,4.268122626,4.255428271,4.267809801,4.270996307,4.248256884,4.832524607
Subject19_1.edf,4.271824888,4.273040358,4.269013483,4.263605771,4.268303958,4.269243829,4.265042353,4.263980123,4.271158121,4.280308048,4.261770922,4.263086209,4.246549721,4.292687782,4.248564217,4.266790151,4.269776937,4.279706151,4.280902901,4.253424382,4.538762031
Subject25_1.edf,4.273524034,4.278029633,4.25330889,4.253680548,4.265642575,4.259200424,4.263727584,4.265836392,4.269237043,4.261175185,4.24437475,4.247918288,4.235228991,4.233600886,4.253938793,4.231947145,4.261175464,4.251931259,4.241947842,4.305052525,4.780366897
Subject26_1.edf,4.249374411,4.28980285,4.255281741,4.249661733,4.264027833,4.264136067,4.266015545,4.263671987,4.258165223,4.258614884,4.277125201,4.286295335,4.287727544,4.291641166,4.312617519,4.326091102,4.259955045,4.264687765,4.282898984,4.334293853,4.887630991
Subject24_1.edf,4.268132134,4.265876742,4.274637597,4.268599159,4.26637865,4.255472919,4.278103927,4.288377756,4.284297538,4.286358447,4.295002038,4.300823571,4.339583682,4.364584476,4.359187921,4.382936262,4.268620672,4.275974461,4.348206752,4.294853663,4.955198731
Subject20_1.edf,4.235888574,4.244911975,4.25751168,4.254402632,4.249200259,4.239883723,4.252110109,4.255899643,4.262049038,4.250779123,4.253863694,4.251487716,4.26676601,4.276425158,4.296397204,4.307331876,4.248708129,4.248581997,4.274412745,4.238598373,4.833447331
Subject21_1.edf,4.284620741,4.255453205,4.281768761,4.268427284,4.266011106,4.263153617,4.276662986,4.268051254,4.275290801,4.273070157,4.267889486,4.264802246,4.289601687,4.276583365,4.298713275,4.294752306,4.272408729,4.272729793,4.281294796,4.273896633,4.690360144
Subject29_1.edf,4.248006932,4.25509777,4.258727637,4.256477514,4.257147854,4.271458551,4.262709017,4.252467843,4.252424154,4.268121246,4.265853771,4.254507521,4.269584727,4.251589864,4.237378804,4.226596211,4.257798474,4.259024823,4.248070015,4.305237284,4.683335314
Subject32_1.edf,4.248575789,4.243724882,4.254153225,4.249164345,4.249856181,4.242218786,4.261790036,4.265622779,4.261032999,4.264645412,4.269982394,4.257158257,4.263367341,4.267433534,4.254079562,4.249231084,4.247046883,4.268985918,4.264256413,4.283244594,4.843054233
Subject28_1.edf,4.276370661,4.294933595,4.289870861,4.290392704,4.281464296,4.264194444,4.285695515,4.290636029,4.286370419,4.2899655,4.28907131,4.27342341,4.298730821,4.310580091,4.320363593,4.297569147,4.285378272,4.291991397,4.308091153,4.269855185,4.668675554
