,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
Subject26_1,2.14730315,2.236978629,2.204297259,2.229298124,2.213581056,2.188222675,2.259003368,2.239301285,2.187991911,2.180190995,2.186341322,2.242586972,2.081389556,2.129675047,1.908468114,1.930481792,2.177763995,2.197116389,2.12425633,2.310469117,2.447786083
Subject13_1,2.499973607,2.48946702,2.554839215,2.454424871,2.109566751,2.308165278,2.221627666,2.236213761,2.294567503,2.390996644,2.514259061,2.632325331,2.361077284,2.338342424,2.376286041,2.372377162,2.368958676,2.29100938,2.309730791,2.445048022,2.454969712
Subject35_1,2.391707397,2.540085503,2.355770738,2.42309804,2.312682365,2.501470764,2.458960684,2.293072101,2.404436583,2.380544006,2.548381392,2.328337902,2.452222308,2.387721166,2.520921902,2.436963141,2.453703739,2.224615637,2.41752869,2.466772423,2.624448137
Subject33_1,2.217317677,2.253642296,2.272349335,2.243932983,2.057907684,2.317702778,2.319098382,2.322869803,2.296168169,2.308730994,2.278025623,2.09376637,2.049420706,2.03439643,1.831482525,1.935481243,2.275870444,2.285187107,2.054552058,2.170101094,2.536574112
Subject00_1,2.38054641,2.434433948,2.397756257,2.390916475,2.358043884,2.460570797,2.427231519,2.34403089,2.413765503,2.431409144,2.393152917,2.198920431,2.364492531,2.194105321,2.304744822,1.984176529,2.38755483,2.332655269,2.35060178,2.306776019,2.318233672
Subject11_1,1.945840034,2.230341817,2.269076499,2.234455435,2.220476762,2.265254079,2.355063503,2.3416772,2.15074903,2.223394265,2.237188412,2.358951135,2.198904344,2.111167772,2.294978212,2.265730784,2.206316057,2.190769972,2.200176241,2.452961204,2.160140758
Subject16_1,2.045060517,2.004702682,2.320051576,2.356826696,2.082152629,2.261975267,2.372210967,2.473896954,2.383985119,2.357105935,2.362068855,2.585034433,2.336293686,2.253672678,2.250829044,2.201027042,2.334262546,2.385191567,2.308847998,2.00467939,2.269079093
Subject08_1,2.43136305,2.446812723,2.338315524,2.32813251,2.37310856,2.348121744,2.344175174,2.307428651,2.320947115,2.326219561,2.226232131,2.256199276,2.250669268,2.222110391,2.138600781,2.109834392,2.310556355,2.316166007,2.214574017,2.45017711,2.446495865
Subject09_1,2.365023341,2.271615039,2.141569498,2.137111263,2.382256544,2.36178099,2.176143374,2.209316402,2.128744902,2.144136737,2.235040404,2.38654336,2.248644845,2.205631906,2.219300166,2.185892481,2.105952639,2.105032241,2.169099278,2.613684297,2.677741748
Subject14_1,2.302090601,2.023249957,2.274084829,2.324028037,2.191121743,2.121928596,2.1688956,2.311541915,2.296417975,2.309395398,1.869857358,2.38217371,2.426908117,2.405719168,2.326256188,2.376831377,2.181962696,2.249589152,2.523873896,2.435849679,2.410218509
