,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
Subject12_1,-2.202403507,-2.206456789,-2.159030138,-2.118274645,-2.215385826,-2.211361018,-2.156791707,-2.139896827,-2.12179252,-2.11613269,-2.170701934,-2.112110969,-2.114428884,-2.104064243,-2.083752393,-2.089909234,-2.140992915,-2.117886949,-2.094277506,-2.256384137,-2.100047623
Subject11_1,-2.194416321,-2.221551516,-2.157343622,-2.154072078,-2.160015329,-2.163564899,-2.165143271,-2.168557211,-2.157226354,-2.153339004,-2.171027884,-2.160624817,-2.152821816,-2.146043758,-2.141564744,-2.144238014,-2.15550105,-2.156843799,-2.147677663,-2.158860119,-2.126606187
Subject01_1,-2.145413416,-2.14596552,-2.141854945,-2.12643893,-2.153036212,-2.140784943,-2.23039165,-2.135569984,-2.148583084,-2.123368213,-2.183227774,-2.142376697,-2.133458275,-2.110886847,-2.113375614,-2.104940146,-2.125124114,-2.127578002,-2.112978878,-2.227026242,-2.151010367
Subject13_1,-2.180070688,-2.190374442,-2.168580019,-2.180860894,-2.160995504,-2.219286606,-2.175204938,-2.187699223,-2.15881996,-2.214856756,-2.207868631,-2.254222427,-2.197559878,-2.159097157,-2.175975419,-2.223460687,-2.160203063,-2.162437945,-2.156081392,-2.238294545,-2.2428015
Subject10_1,-2.143527071,-2.146098155,-2.134657912,-2.147531278,-2.148956625,-2.158047575,-2.131179275,-2.133206652,-2.12738341,-2.120891487,-2.143842878,-2.13703444,-2.118591609,-2.108214044,-2.113767003,-2.103813881,-2.128544923,-2.126798483,-2.109222748,-2.178049041,-2.077036054
Subject14_1,-2.237995906,-2.160140974,-2.119179174,-2.12644037,-2.167902605,-2.161929583,-2.14567648,-2.139312056,-2.124950023,-2.13485085,-2.149855964,-2.119089077,-2.105102639,-2.115277876,-2.107289188,-2.111411426,-2.120664762,-2.135603577,-2.121889085,-2.117781212,-2.193740822
Subject18_1,-2.143703731,-2.123423941,-2.120346828,-2.13180701,-2.148295754,-2.132531386,-2.13384025,-2.115852651,-2.112133251,-2.108761111,-2.146264913,-2.134289184,-2.111449467,-2.103391286,-2.110427187,-2.105823492,-2.134440772,-2.116064209,-2.105783069,-2.133501861,-2.090614265
Subject02_1,-2.265159108,-2.169028136,-2.164315693,-2.214689824,-2.260360789,-2.244020244,-2.185621075,-2.1749977,-2.148107486,-2.144936117,-2.171463648,-2.153888987,-2.14040892,-2.126476895,-2.154926005,-2.112040322,-2.138742218,-2.139909979,-2.133699965,-2.218919284,-2.246587815
Subject15_1,-2.097732578,-2.097650061,-2.091472189,-2.086291737,-2.123178907,-2.110207099,-2.081543044,-2.097338186,-2.080287468,-2.082265631,-2.080871758,-2.076919261,-2.059327972,-2.057583735,-2.054988087,-2.056581351,-2.084999196,-2.084152996,-2.057295264,-2.156170558,-2.064800293
Subject16_1,-2.136694999,-2.135142631,-2.129919089,-2.137903805,-2.146645043,-2.159529817,-2.136737389,-2.194601798,-2.121474042,-2.12456339,-2.133789697,-2.194692382,-2.105322834,-2.100210721,-2.083675063,-2.084816091,-2.128831133,-2.126104274,-2.09973394,-2.184906484,-2.075275685
Subject19_1,-2.132851686,-2.136512701,-2.11611889,-2.123844559,-2.134704083,-2.129286171,-2.106604277,-2.151452327,-2.101559434,-2.112176874,-2.101407043,-2.085101025,-2.067976591,-2.072038738,-2.072330265,-2.079431008,-2.117883094,-2.123549529,-2.070143612,-2.194716247,-2.150619762
Subject25_1,-2.12390259,-2.104022922,-2.096381418,-2.090342904,-2.175238449,-2.143713294,-2.090830001,-2.125409297,-2.063860495,-2.064793708,-2.076654986,-2.083072391,-2.048831309,-2.049638759,-2.065095767,-2.058878396,-2.084161491,-2.062560592,-2.049605686,-2.178036996,-2.118546034
Subject26_1,-2.138221264,-2.139562334,-2.103831085,-2.108383832,-2.13335903,-2.116495586,-2.113560596,-2.104950085,-2.09920559,-2.098227017,-2.092579998,-2.095543629,-2.070473266,-2.076531136,-2.055877169,-2.057190958,-2.104007458,-2.098279502,-2.077653534,-2.137377864,-2.091067795
Subject24_1,-2.155920708,-2.158176961,-2.136520307,-2.133494041,-2.158533455,-2.152877313,-2.140047614,-2.14093642,-2.122768359,-2.121479731,-2.139232614,-2.129286528,-2.096283873,-2.086753418,-2.088899356,-2.077373357,-2.136081344,-2.122515927,-2.087059303,-2.239500657,-2.061815793
Subject20_1,-2.147900517,-2.179726714,-2.129873452,-2.136988455,-2.174775769,-2.181554491,-2.084466872,-2.115262253,-2.119916786,-2.10455077,-2.104306649,-2.097839603,-2.094472412,-2.086558112,-2.085486735,-2.082019723,-2.118858878,-2.101285538,-2.103496367,-2.217348816,-2.105735675
